19 10
0 1 28
0 4 7
0 5 16
0 6 1
0 7 15
0 8 18
1 1 26
1 3 2
1 6 19
1 8 20
1 9 10
2 1 107
2 5 7
2 8 23
2 9 10
3 0 91
3 3 23
3 4 2
3 5 14
3 7 83
3 9 13
4 0 32
4 3 52
4 6 16
4 7 46
5 1 2
5 5 80
5 7 41
5 8 8
5 9 17
6 2 26
6 5 4
6 8 34
7 0 91
7 3 42
7 4 43
7 5 28
7 6 29
7 8 19
8 1 31
8 3 5
8 4 12
8 6 99
9 0 12
9 1 8
9 3 54
9 6 39
9 7 33
10 0 5
10 1 28
10 4 83
10 5 16
10 8 18
11 0 91
11 4 43
11 6 45
11 7 13
12 2 52
12 6 8
12 9 12
13 1 33
13 4 17
13 5 73
13 6 14
13 7 27
13 9 17
14 2 13
14 4 63
14 5 2
14 8 17
15 1 89
15 5 14
15 7 14
15 8 11
16 0 91
16 3 65
16 5 28
16 7 64
16 8 19
16 9 13
17 1 28
17 3 5
17 5 16
17 6 85
17 8 18
